v_code;v_name;v_eng_name;v_nom
R01010;Австралийский доллар;Australian Dollar;1
R01015;Австрийский шиллинг;Austrian Shilling;1000
R01020A;Азербайджанский манат;Azerbaijan Manat;1
R01035;Фунт стерлингов;Pound Sterling;1
R01040F;Ангольская новая кванза;Angolan new Kwanza;100000
R01060;Армянский драм;Armenian Dram;100
R01090;Белорусский рубль;Belarusian Ruble;10000
R01090B;Белорусский рубль;Belarusian Ruble;1
R01095;Бельгийский франк;Belgium Franc;1000
R01100;Болгарский лев;Bulgarian Lev;1
R01115;Бразильский реал;Brazilian Real;1
R01135;Форинт;Forint;100
R01150;Донг;Dong;10000
R01200;Гонконгский доллар;Hong Kong Dollar;1
R01205;Греческая драхма;Greek Drachma;10000
R01210;Лари;Lari;1
R01215;Датская крона;Danish Krone;1
R01230;Дирхам ОАЭ;UAE Dirham;1
R01235;Доллар США;US Dollar;1
R01239;Евро;Euro;1
R01240;Египетский фунт;Egyptian Pound;10
R01270;Индийская рупия;Indian Rupee;100
R01280;Рупия;Rupiah;10000
R01305;Ирландский фунт;Irish Pound;100
R01310;Исландская крона;Iceland Krona;10000
R01315;Испанская песета;Spanish Peseta;10000
R01325;Итальянская лира;Italian Lira;100000
R01335;Тенге;Tenge;100
R01350;Канадский доллар;Canadian Dollar;1
R01355;Катарский риал;Qatari Rial;1
R01370;Сом;Som;100
R01375;Юань;Yuan Renminbi;1
R01390;Кувейтский динар;Kuwaiti Dinar;10
R01405;Латвийский лат;Latvian Lat;1
R01420;Ливанский фунт;Lebanese Pound;100000
R01435;Литовский лит;Lithuanian Lita;1
R01436;Литовский талон;Lithuanian talon;1
R01500;Молдавский лей;Moldovan Leu;10
R01510;Немецкая марка;Deutsche Mark;1
R01510A;Немецкая марка;Deutsche Mark;100
R01523;Нидерландский гульден;Netherlands Gulden;100
R01530;Новозеландский доллар;New Zealand Dollar;1
R01535;Норвежская крона;Norwegian Krone;10
R01565;Злотый;Zloty;1
R01570;Португальский эскудо;Portuguese Escudo;10000
R01585;Румынский лей;Romanian Leu;10000
R01585F;Румынский лей;Romanian Leu;1
R01589;СДР (специальные права заимствования);SDR (Special Drawing Right);1
R01625;Сингапурский доллар;Singapore Dollar;1
R01665A;Суринамский доллар;Surinam Dollar;1
R01670;Сомони;Somoni;10
R01675;Бат;Baht;10
R01700J;Турецкая лира;Turkish Lira;10
R01710;Туркменский манат;Turkmenistan Manat;10000
R01710A;Новый туркменский манат;Turkmenistan New Manat;1
R01717;Узбекский сум;Uzbekistan Sum;10000
R01720;Гривна;Hryvnia;10
R01720A;Украинский карбованец;Ukrainian Hryvnia;1
R01740;Финляндская марка;Finnish Marka;100
R01750;Французский франк;French Franc;1000
R01760;Чешская крона;Czech Koruna;10
R01770;Шведская крона;Swedish Krona;10
R01775;Швейцарский франк;Swiss Franc;1
R01790;ЭКЮ;ECU;1
R01795;Эстонская крона;Estonian Kroon;10
R01805;Югославский новый динар;Yugoslavian Dinar;1
R01805F;Сербский динар;Serbian Dinar;100
R01810;Рэнд;Rand;10
R01815;Вона;Won;1000
R01820;Иена;Yen;100
