date;value;name;unit
28.01.2025;61.3486;Австралийский доллар;1
29.01.2025;61.2580;Австралийский доллар;1
30.01.2025;61.1305;Австралийский доллар;1
31.01.2025;61.0089;Австралийский доллар;1
01.02.2025;60.8872;Австралийский доллар;1
04.02.2025;61.1253;Австралийский доллар;1
05.02.2025;60.9923;Австралийский доллар;1
28.01.2025;57.1365;Азербайджанский манат;1
29.01.2025;57.6269;Азербайджанский манат;1
30.01.2025;57.6545;Азербайджанский манат;1
31.01.2025;57.6507;Азербайджанский манат;1
01.02.2025;57.5357;Азербайджанский манат;1
04.02.2025;58.7902;Азербайджанский манат;1
05.02.2025;57.9609;Азербайджанский манат;1
28.01.2025;121.2596;Фунт стерлингов;1
29.01.2025;122.1927;Фунт стерлингов;1
30.01.2025;121.8493;Фунт стерлингов;1
31.01.2025;121.8609;Фунт стерлингов;1
01.02.2025;121.9406;Фунт стерлингов;1
04.02.2025;124.1895;Фунт стерлингов;1
05.02.2025;122.2999;Фунт стерлингов;1
28.01.2025;24.3830;Армянский драм;100
29.01.2025;24.5923;Армянский драм;100
30.01.2025;24.6096;Армянский драм;100
31.01.2025;24.6296;Армянский драм;100
01.02.2025;24.6158;Армянский драм;100
04.02.2025;25.1753;Армянский драм;100
05.02.2025;24.8377;Армянский драм;100
28.01.2025;28.5179;Белорусский рубль;1
29.01.2025;28.7206;Белорусский рубль;1
30.01.2025;28.6989;Белорусский рубль;1
31.01.2025;28.7122;Белорусский рубль;1
01.02.2025;28.7653;Белорусский рубль;1
04.02.2025;29.1295;Белорусский рубль;1
05.02.2025;28.8371;Белорусский рубль;1
28.01.2025;28.5179;Белорусский рубль;1
29.01.2025;28.7206;Белорусский рубль;1
30.01.2025;28.6989;Белорусский рубль;1
31.01.2025;28.7122;Белорусский рубль;1
01.02.2025;28.7653;Белорусский рубль;1
04.02.2025;29.1295;Белорусский рубль;1
05.02.2025;28.8371;Белорусский рубль;1
28.01.2025;52.0068;Болгарский лев;1
29.01.2025;52.7438;Болгарский лев;1
