date;name;value;unit;v_code
01/30/2025;Австралийский доллар;61.1305;1;R01010
01/31/2025;Австралийский доллар;61.0089;1;R01010
02/01/2025;Австралийский доллар;60.8872;1;R01010
02/04/2025;Австралийский доллар;61.1253;1;R01010
02/05/2025;Австралийский доллар;60.9923;1;R01010
02/06/2025;Австралийский доллар;61.2749;1;R01010
02/07/2025;Австралийский доллар;60.6950;1;R01010
02/08/2025;Австралийский доллар;61.1284;1;R01010
01/30/2025;Азербайджанский манат;57.6545;1;R01020A
01/31/2025;Азербайджанский манат;57.6507;1;R01020A
02/01/2025;Азербайджанский манат;57.5357;1;R01020A
02/04/2025;Азербайджанский манат;58.7902;1;R01020A
02/05/2025;Азербайджанский манат;57.9609;1;R01020A
02/06/2025;Азербайджанский манат;57.6798;1;R01020A
02/07/2025;Азербайджанский манат;57.0061;1;R01020A
02/08/2025;Азербайджанский манат;57.2213;1;R01020A
01/30/2025;Фунт стерлингов;121.8493;1;R01035
01/31/2025;Фунт стерлингов;121.8609;1;R01035
02/01/2025;Фунт стерлингов;121.9406;1;R01035
02/04/2025;Фунт стерлингов;124.1895;1;R01035
02/05/2025;Фунт стерлингов;122.2999;1;R01035
02/06/2025;Фунт стерлингов;122.3440;1;R01035
02/07/2025;Фунт стерлингов;121.3124;1;R01035
02/08/2025;Фунт стерлингов;120.7587;1;R01035
01/30/2025;Армянский драм;24.6096;100;R01060
01/31/2025;Армянский драм;24.6296;100;R01060
02/01/2025;Армянский драм;24.6158;100;R01060
02/04/2025;Армянский драм;25.1753;100;R01060
02/05/2025;Армянский драм;24.8377;100;R01060
02/06/2025;Армянский драм;24.7253;100;R01060
02/07/2025;Армянский драм;24.4211;100;R01060
02/08/2025;Армянский драм;24.5176;100;R01060
01/30/2025;Белорусский рубль;28.6989;1;R01090
01/31/2025;Белорусский рубль;28.7122;1;R01090
02/01/2025;Белорусский рубль;28.7653;1;R01090
02/04/2025;Белорусский рубль;29.1295;1;R01090
02/05/2025;Белорусский рубль;28.8371;1;R01090
02/06/2025;Белорусский рубль;28.7368;1;R01090
02/07/2025;Белорусский рубль;28.6125;1;R01090
02/08/2025;Белорусский рубль;28.6959;1;R01090
01/30/2025;Белорусский рубль;28.6989;1;R01090B
01/31/2025;Белорусский рубль;28.7122;1;R01090B
02/01/2025;Белорусский рубль;28.7653;1;R01090B
02/04/2025;Белорусский рубль;29.1295;1;R01090B
02/05/2025;Белорусский рубль;28.8371;1;R01090B
02/06/2025;Белорусский рубль;28.7368;1;R01090B
02/07/2025;Белорусский рубль;28.6125;1;R01090B
02/08/2025;Белорусский рубль;28.6959;1;R01090B
01/30/2025;Болгарский лев;52.2227;1;R01100
01/31/2025;Болгарский лев;52.0941;1;R01100
02/01/2025;Болгарский лев;52.0253;1;R01100
02/04/2025;Болгарский лев;53.1085;1;R01100
02/05/2025;Болгарский лев;51.7598;1;R01100
02/06/2025;Болгарский лев;51.8147;1;R01100
02/07/2025;Болгарский лев;51.6404;1;R01100
02/08/2025;Болгарский лев;51.5270;1;R01100
01/30/2025;Бразильский реал;16.6329;1;R01115
01/31/2025;Бразильский реал;16.7266;1;R01115
02/01/2025;Бразильский реал;16.5772;1;R01115
02/04/2025;Бразильский реал;17.1435;1;R01115
02/05/2025;Бразильский реал;16.7905;1;R01115
02/06/2025;Бразильский реал;16.9283;1;R01115
02/07/2025;Бразильский реал;16.7104;1;R01115
02/08/2025;Бразильский реал;16.8144;1;R01115
01/30/2025;Форинт;24.9924;100;R01135
01/31/2025;Форинт;25.0373;100;R01135
02/01/2025;Форинт;24.8990;100;R01135
02/04/2025;Форинт;24.9821;100;R01135
02/05/2025;Форинт;24.9654;100;R01135
02/06/2025;Форинт;25.1116;100;R01135
02/07/2025;Форинт;24.6648;100;R01135
02/08/2025;Форинт;24.9843;100;R01135
01/30/2025;Донг;40.2929;10000;R01150
01/31/2025;Донг;40.2903;10000;R01150
02/01/2025;Донг;40.2099;10000;R01150
02/04/2025;Донг;41.0867;10000;R01150
02/05/2025;Донг;40.4489;10000;R01150
02/06/2025;Донг;40.1950;10000;R01150
02/07/2025;Донг;39.6767;10000;R01150
02/08/2025;Донг;39.7662;10000;R01150
01/30/2025;Гонконгский доллар;12.6037;1;R01200
01/31/2025;Гонконгский доллар;12.6021;1;R01200
02/01/2025;Гонконгский доллар;12.5737;1;R01200
02/04/2025;Гонконгский доллар;12.8454;1;R01200
02/05/2025;Гонконгский доллар;12.6748;1;R01200
02/06/2025;Гонконгский доллар;12.6141;1;R01200
02/07/2025;Гонконгский доллар;12.4692;1;R01200
02/08/2025;Гонконгский доллар;12.5114;1;R01200
01/30/2025;Лари;34.0724;1;R01210
01/31/2025;Лари;34.0488;1;R01210
02/01/2025;Лари;34.0081;1;R01210
02/04/2025;Лари;34.9905;1;R01210
02/05/2025;Лари;34.6913;1;R01210
02/06/2025;Лари;34.5534;1;R01210
02/07/2025;Лари;34.3362;1;R01210
02/08/2025;Лари;34.6240;1;R01210
01/30/2025;Датская крона;13.6868;1;R01215
01/31/2025;Датская крона;13.6529;1;R01215
02/01/2025;Датская крона;13.6369;1;R01215
02/04/2025;Датская крона;13.9205;1;R01215
02/05/2025;Датская крона;13.5669;1;R01215
02/06/2025;Датская крона;13.5826;1;R01215
02/07/2025;Датская крона;13.5395;1;R01215
02/08/2025;Датская крона;13.5098;1;R01215
01/30/2025;Дирхам ОАЭ;26.6883;1;R01230
01/31/2025;Дирхам ОАЭ;26.6865;1;R01230
02/01/2025;Дирхам ОАЭ;26.6333;1;R01230
02/04/2025;Дирхам ОАЭ;27.2140;1;R01230
02/05/2025;Дирхам ОАЭ;26.8301;1;R01230
02/06/2025;Дирхам ОАЭ;26.7000;1;R01230
02/07/2025;Дирхам ОАЭ;26.3881;1;R01230
02/08/2025;Дирхам ОАЭ;26.4877;1;R01230
01/30/2025;Доллар США;98.0126;1;R01235
01/31/2025;Доллар США;98.0062;1;R01235
02/01/2025;Доллар США;97.8107;1;R01235
02/04/2025;Доллар США;99.9433;1;R01235
02/05/2025;Доллар США;98.5336;1;R01235
02/06/2025;Доллар США;98.0556;1;R01235
02/07/2025;Доллар США;96.9104;1;R01235
02/08/2025;Доллар США;97.2762;1;R01235
01/30/2025;Евро;102.4041;1;R01239
01/31/2025;Евро;102.7782;1;R01239
02/01/2025;Евро;102.1301;1;R01239
02/04/2025;Евро;102.4910;1;R01239
02/05/2025;Евро;102.6852;1;R01239
02/06/2025;Евро;102.9215;1;R01239
02/07/2025;Евро;100.6751;1;R01239
02/08/2025;Евро;101.2243;1;R01239
01/30/2025;Египетский фунт;19.5105;10;R01240
01/31/2025;Египетский фунт;19.5093;10;R01240
02/01/2025;Египетский фунт;19.4691;10;R01240
02/04/2025;Египетский фунт;19.8513;10;R01240
02/05/2025;Египетский фунт;19.5858;10;R01240
02/06/2025;Египетский фунт;19.4867;10;R01240
02/07/2025;Египетский фунт;19.2665;10;R01240
02/08/2025;Египетский фунт;19.3392;10;R01240
01/30/2025;Индийская рупия;11.3209;10;R01270
01/31/2025;Индийская рупия;11.3192;10;R01270
02/01/2025;Индийская рупия;11.2891;10;R01270
02/04/2025;Индийская рупия;11.4724;10;R01270
02/05/2025;Индийская рупия;11.3100;10;R01270
02/06/2025;Индийская рупия;11.2419;10;R01270
02/07/2025;Индийская рупия;11.0677;10;R01270
02/08/2025;Индийская рупия;11.1201;10;R01270
01/30/2025;Рупия;60.2191;10000;R01280
01/31/2025;Рупия;60.4977;10000;R01280
02/01/2025;Рупия;60.1579;10000;R01280
02/04/2025;Рупия;61.2698;10000;R01280
02/05/2025;Рупия;59.8879;10000;R01280
02/06/2025;Рупия;59.9179;10000;R01280
02/07/2025;Рупия;59.4251;10000;R01280
02/08/2025;Рупия;59.5690;10000;R01280
01/30/2025;Тенге;18.9899;100;R01335
01/31/2025;Тенге;18.9622;100;R01335
02/01/2025;Тенге;18.8358;100;R01335
